seed,dataset,Imbalance-ratio,activation,F1-score,Geometric-Mean,Area Under Curve,Balanced_Accuracy,Brier Inaccuracy,Cohen Kappa,Test_loss,Mu,Sigma,Xi
20210905,abalone-3_vs_11,20.923076923076923,GEV,0.0,1.0,1.0,1.0,5.882924703389469e-14,0.0,3.7789349264044335e-19,0.007492578691906399,1.026178863313463,-0.0308704547997978
20210906,abalone-3_vs_11,20.923076923076923,GEV,0.0,1.0,1.0,1.0,8.119964799002493e-05,0.0,2.4989524534915893e-05,-0.13387415806452432,0.8835107684135437,-0.1647431320614285
20210907,abalone-3_vs_11,20.923076923076923,GEV,0.888888888888889,1.0,1.0,1.0,8.337489497917458e-09,0.8855193328279,2.498128097114832e-11,-0.2121689816315969,0.8110780914624532,-0.2704799738195207
