seed,dataset,Imbalance-ratio,activation,F1-score,Geometric-Mean,Area Under Curve,Balanced_Accuracy,Brier Inaccuracy,Cohen Kappa,Test_loss,Mu,Sigma,Xi
1,abalone-3_vs_11,32.46666666666667,sigmoid,1.0,1.0,1.0,1.0,1.4848095983846313e-08,1.0,2.053236016763549e-05,,,
2,abalone-3_vs_11,32.46666666666667,sigmoid,1.0,1.0,1.0,1.0,1.723932425057555e-08,1.0,4.2547941916382115e-05,,,
